Sr. No,All India Merit,Choice Code,Institute Name,Course Name,Exam Type,Type,Seat Type,rank,percentile
141,17612 (14.4239011),1113,"Sadhana Shikshan Mandal, Saraswati College,",BCA,MAH-CET,AI,AI to AI,17612.0,14.4239011
142,17695 (14.1398272),16184,B. P. SULAKHE COMMERCE COLLEGE BARSHI,BCA,MAH-CET,AI,AI to AI,17695.0,14.1398272
143,17738 (13.3645955),5649,PRINCIPAL NEW ARTS COMM AND SCIENCE COLLEGE,BCA,MAH-CET,AI,AI to AI,17738.0,13.3645955
144,17799 (12.5687353),1315,GOPIKABAI SITARAM GAWANDE MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,17799.0,12.5687353
145,17818 (12.5687353),16296,D. A. V. VELANKAR COLLEGE OF COMMERCE,BCA,MAH-CET,AI,AI to AI,17818.0,12.5687353
146,17824 (12.4447859),5615,SSBTS ARTS COMMERCE AND SCIENCE COLLEGE,BCA,MAH-CET,AI,AI to AI,17824.0,12.4447859
147,18169 (12.0690700),1313,RAJASTHAN ARYAN ARTS SHRI MITHULALJI,BCA,MAH-CET,AI,AI to AI,18169.0,12.06907
148,18204 (11.2934740),2773,Sumanbai Bengal College of BCA,BCA,MAH-CET,AI,AI to AI,18204.0,11.293474
149,18223 (11.2934740),16217,SMT MATHUBAI GARWARE KANYA MAHAVIDYALYA,BCA,MAH-CET,AI,AI to AI,18223.0,11.293474
150,18264 (11.2242912),16225,SHRI PRINCE SHIVAJI MARATHA BOARDING HOUSE'S,BCA,MAH-CET,AI,AI to AI,18264.0,11.2242912
151,18350 (10.4505939),2695,MARATHWADA INSTITUTE OF TECHNOLOGY CIDCO,BCA,MAH-CET,AI,AI to AI,18350.0,10.4505939
152,18360 (10.4505939),2778,SHIVCHHATRAPATI COLLEGE,BCA,MAH-CET,AI,AI to AI,18360.0,10.4505939
153,18459 (10.4505939),5112,Padmashree Dr. Vithalrao Vikhe Patil Foundation's,BCA,MAH-CET,AI,AI to AI,18459.0,10.4505939
154,18528 (9.7667374),5578,"HR Patel Arts and Science College, Shirpur",BCA,MAH-CET,AI,AI to AI,18528.0,9.7667374
155,18543 (9.7667374),5124,Jagadamba Education Soc. Nashik's S.N.D. College of,BCA,MAH-CET,AI,AI to AI,18543.0,9.7667374
156,18657 (9.5640220),4738,"CITY PRIDE COLLEGE, NAGPUR",BCA,MAH-CET,AI,AI to AI,18657.0,9.564022
157,18707 (9.2649062),5611,SARASWATI MAHAVIDYALAY DEVGAON DEVLI,BCA,MAH-CET,AI,AI to AI,18707.0,9.2649062
158,18829 (8.4792457),16251,BALWANT COLLEGE VITA,BCA,MAH-CET,AI,AI to AI,18829.0,8.4792457
159,18908 (8.2220477),16332,PDEAS ANNASAHEB MAGAR MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,18908.0,8.2220477
160,18946 (7.8245637),6144,"Genba Sopanrao Moze College of Engineering,",BCA,MAH-CET,AI,AI to AI,18946.0,7.8245637
161,18991 (7.7960141),16136,SHIVRAJ COLLEGE OF ARTS COMMERCE AND D S,BCA,MAH-CET,AI,AI to AI,18991.0,7.7960141
162,19018 (7.6764617),1320,G S SCIENCE ARTS AND COMMERCE COLLEGE,BCA,MAH-CET,AI,AI to AI,19018.0,7.6764617
163,19060 (7.6764617),2687,DNYANOPASAK SHIKSHAN MANDALS COLLEGE OF,BCA,MAH-CET,AI,AI to AI,19060.0,7.6764617
164,19067 (7.6764617),6971,"K.B. Joshi Institute of Information Technology, Pune",BCA,MAH-CET,AI,AI to AI,19067.0,7.6764617
165,19176 (6.9389893),2672,ARTS SCIENCE AND COMMERCE COLLEGE,BCA,MAH-CET,AI,AI to AI,19176.0,6.9389893
166,19227 (6.8384964),16162,GANPATRAO ARWADE COLLEGE OF COMMERCE,BCA,MAH-CET,AI,AI to AI,19227.0,6.8384964
167,19237 (6.8384964),16203,DATTAJIRAO KADAM ARTS SCIENCE AND COMMERCE,BCA,MAH-CET,AI,AI to AI,19237.0,6.8384964
168,19245 (6.8384964),6138,Genba Sopanrao Moze Trust Parvatibai Genba Moze,BCA,MAH-CET,AI,AI to AI,19245.0,6.8384964
169,19249 (6.8384964),16333,SHARADCHANDRA PAWAR ARTS AND COMMERCE,BCA,MAH-CET,AI,AI to AI,19249.0,6.8384964
170,19281 (6.8384964),2119,Shree Sharda Bhavan Education Society's Institute of,BCA,MAH-CET,AI,AI to AI,19281.0,6.8384964
171,19297 (6.3388049),5621,MARATHA VIDYA PRASARAK SAMAJ'S S V K T ARTS,BCA,MAH-CET,AI,AI to AI,19297.0,6.3388049
172,19314 (6.0896183),6990,Jaihind Institute of Management and Research,BCA,MAH-CET,AI,AI to AI,19314.0,6.0896183
173,19410 (5.9800061),16216,SANGOLA MAHAVIDYALAYA SANGOLA,BCA,MAH-CET,AI,AI to AI,19410.0,5.9800061
174,19445 (5.9800061),16147,R B MADKHOLKAR MAHAVIDYALAYA CHANDGAD,BCA,MAH-CET,AI,AI to AI,19445.0,5.9800061
175,19483 (5.7803090),16194,SNDT ARTS AND COMMERCE COLLEGE FOR WOMEN,BCA,MAH-CET,AI,AI to AI,19483.0,5.780309
176,19496 (5.7803090),5567,SHIKSHAN PRASARAK SANSTHAS SANGAMNER,BCA,MAH-CET,AI,AI to AI,19496.0,5.780309
