Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
110,15903 (51.4093808),266524110,"Royal Institute of Technical Education, Latur",Master in Computer Application,AI-AI,AI,15903.0,51.4093808
111,16115 (51.4093808),413724210,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Master of Computer Applications,AI-AI,AI,16115.0,51.4093808
112,16146 (49.3533426),211524110,"Sahyog Sevabhavi Santha's Indira Institute of Management Science, Nanded",Master in Computer Application,AI-AI,AI,16146.0,49.3533426
113,16203 (49.3533426),210224110,"Rajarshi Shahu Institute of Management, Aurangabad",Master in Computer Application,AI-AI,AI,16203.0,49.3533426
114,16290 (49.3533426),511124110,"B. P. Hivale Education Society's Institute of Management Studies Career Development Research, Ahmednagar",Master in Computer Application,AI-AI,AI,16290.0,49.3533426
115,16688 (49.3533426),680324110,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Master in Computer Application,AI-AI,AI,16688.0,49.3533426
116,16905 (46.3793819),533124110,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Master in Computer Application,AI-AI,AI,16905.0,46.3793819
117,17238 (46.3793819),699024110,Jaihind Institute of Management and Research,Master in Computer Application,AI-AI,AI,17238.0,46.3793819
118,17355 (46.3793819),111124110,"P.G. Department of Computer Science & Technology, D.C.P.E., H.V.P. Mandal, Amravati",Master in Computer Application,AI-AI,AI,17355.0,46.3793819
119,17418 (44.5345198),663524110,Samarth College of Engineering and Management,Master in Computer Application,AI-AI,AI,17418.0,44.5345198
120,17453 (44.5345198),262124110,"MDA EDUCATION AND RESEARCH INSTITUTE, KOLPA, LATUR",Master in Computer Application,AI-AI,AI,17453.0,44.5345198
121,17527 (44.5345198),621324110,"Chh. Shahu Institute Of Business Edu And Res Vasantraodada Patil Institute Of Management Studies & Research, Sangli",Master in Computer Application,AI-AI,AI,17527.0,44.5345198
122,17926 (44.5345198),662824110,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",Master in Computer Application,AI-AI,AI,17926.0,44.5345198
123,18068 (41.4550394),512424210,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Master of Computer Applications,AI-AI,AI,18068.0,41.4550394
124,18411 (41.4550394),513124110,"C.H.M.E. Society's Dr. Moonje Institute of Management & Information Technology, Nashik",Master in Computer Application,AI-AI,AI,18411.0,41.4550394
125,18737 (39.3989669),263524110,"Shri. Sambhaji College of Management & Technology, Degaon Road, Opp. Nadla Digras, Khadkut, Nanded",Master in Computer Application,AI-AI,AI,18737.0,39.3989669
126,18819 (39.3989669),517724110,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Master in Computer Application,AI-AI,AI,18819.0,39.3989669
127,18972 (39.3989669),511324110,"Nashik District Maratha Vidya Prasarak Samaj's Institute of Management Research & Technology, Nashik",Master in Computer Application,AI-AI,AI,18972.0,39.3989669
128,19364 (36.496736),538124110,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Master in Computer Application,AI-AI,AI,19364.0,36.496736
129,19445 (36.496736),515224110,"G H Raisoni College of Engineering and Management, Jalgaon",Master in Computer Application,AI-AI,AI,19445.0,36.496736
130,19524 (36.496736),675724110,"Yashoda Technical Campus, Wadhe, Satara.",Master in Computer Application,AI-AI,AI,19524.0,36.496736
