Sr No,College,College Code,Course,Location,Category,Quota,AIR,cap_round,year
25,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,25,CAP-1,2025-26
26,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,OPEN,26,CAP-1,2025-26
27,Sir J.J. School,1104,Int. Decoration,Mumbai,SC,OPEN,28,CAP-1,2025-26
28,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,29,CAP-1,2025-26
29,Sir J.J. School,1101,Painting,Mumbai,SEBC,SEBC,30,CAP-1,2025-26
30,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,31,CAP-1,2025-26
31,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN(W),32,CAP-1,2025-26
32,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,33,CAP-1,2025-26
33,Sir J.J. School,1101,Painting,Mumbai,SC,SC,34,CAP-1,2025-26
34,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,36,CAP-1,2025-26
35,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,38,CAP-1,2025-26
36,Sir J.J. School,1101,Painting,Mumbai,OBC,OBC,39,CAP-1,2025-26
37,Sir J.J. Institute,1202,Applied Art,Mumbai,NTB,OPEN,40,CAP-1,2025-26
38,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN(W),41,CAP-1,2025-26
39,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN(W),42,CAP-1,2025-26
40,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,43,CAP-1,2025-26
41,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,OPEN,44,CAP-1,2025-26
42,Sir J.J. Institute,1202,Applied Art,Mumbai,NTB,OPEN,45,CAP-1,2025-26
43,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,47,CAP-1,2025-26
44,Sir J.J. School,1101,Painting,Mumbai,OBC,OBC,48,CAP-1,2025-26
45,Sir J.J. School,1101,Painting,Mumbai,OBC,OBC,49,CAP-1,2025-26
46,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN(W),50,CAP-1,2025-26
47,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,51,CAP-1,2025-26
48,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,54,CAP-1,2025-26
49,Sir J.J. Institute,1202,Applied Art,Mumbai,SBC,OPEN,55,CAP-1,2025-26
50,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,56,CAP-1,2025-26
51,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,SC,OPEN(W),57,CAP-1,2025-26
52,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,59,CAP-1,2025-26
53,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,60,CAP-1,2025-26
54,Sir J.J. Institute,1202,Applied Art,Mumbai,OPEN,OPEN,61,CAP-1,2025-26
55,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OPEN,62,CAP-1,2025-26
56,Sir J.J. School,1104,Int. Decoration,Mumbai,OPEN,OPEN(W),63,CAP-1,2025-26
57,Rachana Sansad,1302,Applied Art,Mumbai,SC,OPEN,66,CAP-1,2025-26
58,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,69,CAP-1,2025-26
59,Sir J.J. School,1103,Textile Design,Mumbai,OBC,OPEN,70,CAP-1,2025-26
60,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,75,CAP-1,2025-26
61,Sir J.J. Institute,1202,Applied Art,Mumbai,NTB,NTB,78,CAP-1,2025-26
62,Sir J.J. Institute,1202,Applied Art,Mumbai,VJA,VJA,79,CAP-1,2025-26
63,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,82,CAP-1,2025-26
64,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,83,CAP-1,2025-26
65,Sir J.J. School,1107,Ceramics,Mumbai,NTB,OPEN,84,CAP-1,2025-26
66,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,86,CAP-1,2025-26
67,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,89,CAP-1,2025-26
68,Sir J.J. School,1101,Painting,Mumbai,SC,SC,90,CAP-1,2025-26
69,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,92,CAP-1,2025-26
70,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,93,CAP-1,2025-26
71,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,94,CAP-1,2025-26
72,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,95,CAP-1,2025-26
73,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,96,CAP-1,2025-26
74,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,97,CAP-1,2025-26
75,Sir J.J. Institute,1202,Applied Art,Mumbai,EWS,EWS,99,CAP-1,2025-26
76,Govt. Col of Art & Design,2201,Painting,Chatrapati Samb,OBC,OPEN,102,CAP-1,2025-26
77,Sir J.J. Institute,1202,Applied Art,Mumbai,SC,SC,105,CAP-1,2025-26
78,Sir J.J. Institute,1202,Applied Art,Mumbai,SEBC,SEBC,106,CAP-1,2025-26
79,Sir J.J. Institute,1202,Applied Art,Mumbai,OBC,OBC,107,CAP-1,2025-26
80,Sir J.J. School,1103,Textile Design,Mumbai,OPEN,OPEN(W),108,CAP-1,2025-26
